CVC Name,Website,"CVC Description (Based on website, summarized by AI)",Company,Industry,Country
ADB Ventures,https://ventures.adb.org,"ADB Ventures is the corporate venture capital arm of the Asian Development Bank (ADB). Established in 2020, ADB Ventures invests in early-stage companies with technology-enabled solutions that contribute to achieving the Sustainable Development Goals (SDGs) in Asia and the Pacific. 

ADB Ventures' priority industries for investment include:
1. Clean Energy and Industry
2. Sustainable Mobility and Supply Chains 
3. Sustainable Agriculture and Food
4. Circular Economy and Green Materials
5. Green Finance and Data
6. Inclusive and Resilient Communities

ADB Ventures provides patient venture capital, SEED funding, and technical assistance to help these early-stage companies scale up and drive climate and gender equality impact in the region.",Asian Development Bank (ADB),Finance,Philippines
ADM Ventures,https://www.adm.com/products-services/admventures,"ADM Ventures is the corporate venture capital arm of ADM (Archer Daniels Midland), a major agricultural supply chain manager and processor. ADM Ventures invests in and collaborates with cutting-edge startups that are commercializing disruptive technologies across the priority industries of human nutrition, microbiome solutions, animal nutrition, bio-solutions, and agriculture technology. ADM Ventures looks to invest in startups with proprietary technologies that demonstrate feasibility and scalability, typically at the Series A stage or beyond. The venture capital group also fosters collaborations between its portfolio companies and the broader ADM organization, leveraging ADM's global solutions network to provide value-added support and accelerate commercialization.",ADM,Food and Agriculture,United States
AEI HorizonX,http://www.boeing.com/company/key-orgs/horizon-x/ventures/,"AEI HorizonX is a venture capital investing platform formed in 2021 through a partnership between The Boeing Company and private equity firm AE Industrial Partners. AEI HorizonX focuses on early-stage minority equity investments in transformative technologies and businesses that will shape the future of aerospace, defense, industrial, and technology markets. The priority industries for AEI HorizonX investments include: Mobility (e.g. future transportation of people, goods, and data), Space and connectivity (e.g. satellite communications, space technology), Industrial tech (e.g. advanced manufacturing, automation, materials science), and Enterprise digital solutions (e.g. software, analytics, cloud computing). Across these investment themes, AEI HorizonX has a particular emphasis on sustainability and reducing the carbon footprint of aerospace and adjacent industries.",The Boeing Company,Industrial,United States
Air Liquide Venture Capital (ALIAD),https://www.airliquide.com/group/aliad,"Air Liquide Venture Capital (ALIAD), established in 2013, focuses on investing in start-ups that drive innovation in Climate Tech, Healthtech, and Industrial Innovation. ALIAD goes beyond funding by forming strategic partnerships with portfolio companies and Air Liquide, supporting their growth from early-stage to scale-up. With over 40 investments and more than €25 million invested in impact startups since 2020, ALIAD aligns with Air Liquide's strategy to foster sustainable growth and contribute to the company’s goal of achieving carbon neutrality by 2050.







",Air Liquide,Industrial,France
Airbus Ventures,http://www.airbusventures.vc,"Airbus Ventures is the corporate venture capital firm of Airbus, an independent early-stage VC firm that invests in startups impacting the aerospace industry. Headquartered in Silicon Valley with offices in Paris and Tokyo, Airbus Ventures supports companies working on a full spectrum of fast-accelerating technologies at the intersection of Earth and space. The firm's priority investment areas include autonomy, electrification, industrial efficiency, new space, and security.",Airbus,Industrial,France
Albion Capital Group LLP,https://www.albion.vc,"AlbionVC is the technology investment arm of Albion Capital Group LLP, a venture capital firm based in London, UK. Founded in 1996, AlbionVC invests in early-stage B2B software, healthcare, and deeptech companies, predominantly in the UK. They focus on investing in startups with the potential to grow into enduring companies that can reshape their industries. AlbionVC's priority industries for investment are B2B software, healthcare, and deeptech. They aim to provide their portfolio companies with long-term capital and scale-up expertise to help them succeed, and have a track record of achieving top quartile returns for their investors.",Albion Capital Group LLP,Finance,United Kingdom
ALIAD,https://www.airliquide.com/group/aliad,"ALIAD (Air Liquide Venture Capital) is the corporate venture capital arm of the Air Liquide Group, established in 2013. ALIAD invests in startups developing innovative technologies or business models in three priority areas: energy transition, health, and digital. The objective is to help Air Liquide strengthen its positions in these key sectors of the future by providing access to innovative ecosystems and strategic partnerships with young companies. ALIAD takes minority equity stakes in the startups it invests in, with the goal of supporting their growth and helping them industrialize their products and access new markets.",Air Liquide Group,Industrial,France
Aliaxis Next,https://aliaxis.com/aliaxis-next-tackling-key-water-challenges/,"Aliaxis Next is a new division of Aliaxis, a global leader in advanced piping systems, focused on developing innovative solutions to address key water challenges. The division aims to leverage Aliaxis' expertise in plastic piping to create sustainable technologies for water access, sanitation, and hygiene in developing countries and water-stressed regions.
Aliaxis Next will operate as a separate entity within Aliaxis, with a dedicated team and resources to pursue its mission. The division plans to collaborate with NGOs, governments, and local communities to understand their specific water needs and develop tailored solutions1.
Some key focus areas for Aliaxis Next include:
Affordable and durable piping systems for clean water distribution
Sanitation solutions like low-cost toilets and wastewater treatment
Rainwater harvesting and storage systems to improve water security
Irrigation solutions for smallholder farmers to boost agricultural productivity
By applying its core competencies in plastic processing and piping design, Aliaxis hopes to make a meaningful impact on global water challenges through the work of Aliaxis Next. The division embodies Aliaxis' commitment to sustainability and social responsibility",Aliaxis,Industrial,Belgium
Alliance Ventures,https://alliancernm.com,"Alliance Ventures is the corporate venture capital fund operated by the Renault-Nissan-Mitsubishi Alliance, the world's largest automotive partnership. Launched in 2018 with a $200 million initial investment, Alliance Ventures invests in early-stage startups whose software, products or services are primarily focused on the future of the automotive industry. The fund's priority investment areas include New Mobility, Autonomous Driving, Connected Services, Electric Vehicles & Energy, and Enterprise 2.0 technologies like cloud-based cybersecurity. Alliance Ventures aims to identify innovative technologies and business models that offer strategic value and synergies with the Renault, Nissan and Mitsubishi member companies, while also investing in mobility-focused venture capital funds to expand its reach.",Renault-Nissan-Mitsubishi Alliance,Automotive,France
Allianz France,https://www.allianz.fr/qui-est-allianz/nous-connaitre/allianz-innove/corporate-venture-capital.html,"Allianz France operates a corporate venture capital (CVC) program that invests in innovative digital startups through minority equity stakes. Over the past 6 years, they have invested in over 25 startups, providing them with access to Allianz's expertise and networks to support their growth. The CVC program illustrates Allianz's commitment to the real economy and support for innovation and entrepreneurship. Allianz's CVC program focuses on investing in startups in the following priority industries: fintech, insurtech, cybersecurity, big data, and blockchain.",Allianz,Finance,Germany
Allianz X,https://www.allianzx.com,"Allianz X is the corporate venture capital arm of the Allianz Group, one of the world's largest insurance and asset management companies. Allianz X invests in digital frontrunners in ecosystems relevant to insurance and asset management, with a portfolio of over 25 companies and assets under management of more than 1.5 billion euros. 

Allianz X's priority industries for investment are insurtech and fintech. The company focuses on late-stage and growth-stage scale-ups, not seed or early stage startups. Allianz X has made investments in companies like NEXT Insurance, Coalition, Pie Insurance, and OpenGamma - all of which operate in the insurtech and fintech spaces.

As part of the Allianz Group's digital transformation strategy, Allianz X provides an interface between Allianz's operating entities and the broader digital ecosystem, enabling collaborative partnerships in insurtech, fintech, and beyond.",Allianz Group,Finance,Germany
Allstate Strategic Ventures,https://www.allstatecorporation.com/strategic-ventures.aspx,"Allstate Strategic Ventures (ASV) is the corporate venture capital arm of Allstate Insurance Company, founded in 2015. ASV invests in entrepreneurs developing disruptive technologies in areas such as insurtech, new mobility models, and deep and frontier tech. These technologies have the potential to shape the future of the insurance industry and adjacent sectors.
ASV typically invests between $1M - $10M in companies at the Series A to Series C stage. They focus on investments in the U.S., Canada, Europe, Israel and Asia-Pacific regions.
Key investment areas for ASV include:
- Enterprise SaaS
- Mobility & Telematics 
- Distribution – Enhancing Tech
- Cybersecurity & Identity Protection
- Climate Tech
- IoT & 5G
- InsurTech and FinTech
As a strategic investor, ASV provides several benefits to portfolio companies:
Strategic capital source: As a leader in the P&C insurance market backed by a Fortune 100 company, ASV can provide access to a blue-chip anchor customer with potential for recurring revenue.
Business expertise: ASV helps companies better understand use cases at Allstate and build products that will succeed in the insurance industry and adjacent sectors. 
Supportive investor: ASV is a highly collaborative partner with patient capital, committed to mutually beneficial long-term relationships.
Efficient corporate partnership: ASV's strong internal relationships at Allstate allow them to expedite the path to commercial engagement for portfolio companies.
Over the years, ASV has built a world-class portfolio of companies through its strategic investments. The ASV team is led by Suren Gupta (President, Enterprise Solutions) and Tarik Galijasevic (Vice President and Managing Director).",Allstate,Finance,United States
Amadeus Ventures,http://www.amadeus.com,"Amadeus Ventures is the corporate venture capital program of Amadeus IT Group, one of the top ten travel technology companies in the world. Amadeus Ventures invests in early-stage startups with the goal of driving strategic value and financial returns. The program looks for startups with scalable business ideas, solid financial potential, and exceptional teams that are working on innovative technologies and business models to disrupt and impact the travel industry. Amadeus Ventures provides its portfolio companies with access to its extensive global network, industry expertise, and technology. The key priority industries for Amadeus Ventures include travel technology, disruptive ideas and business models shaping the future of travel, and scalable and sustainable businesses with a clear path to profitability.",Amadeus IT Group,Technology,Spain
Amazon Industrial Innovation Fund,https://industrialinnovationfund.amazon/,"Amazon has a $1 billion corporate venture capital fund called the Amazon Industrial Innovation Fund (AIIF) that supports emerging technology companies through direct investments. The AIIF's priority industries are customer fulfillment, logistics, and supply chain management. It invests in companies working on technologies such as robotics, artificial intelligence, machine learning, and autonomy, with the goal of advancing and improving these key areas to enhance the customer and employee experience. In 2024, the AIIF plans to expand its investments to include transportation, including autonomous vehicles and last-mile technologies, in addition to its existing focus.",Amazon,Consumer,United States
Amazon The Climate Pledge Fund,https://fund.theclimatepledge.com/us/en,"The Climate Pledge Fund is a corporate venture program that invests in companies accelerating Amazon’s path to meeting the commitments of The Climate Pledge. Support innovative climate technology companies with the most potential to help Amazon and others reach net‑zero carbon emissions by 2040.
This dedicated program—with an initial $2 billion in funding—invests in visionary companies with a potential for long-term impact.
",Amazon,Technology,United States
Amcor,https://www.amcor.com/about/ventures,"Amcor's corporate venture company invests in and partners with innovative startups to develop new sustainable packaging solutions and business models. Their priority investment areas include:

1. More sustainable materials and circular economy applications, such as recycling systems, sustainable barrier technologies, paper-based solutions, and biomaterials.
2. New business opportunities, such as smart packaging, new printing/processing technologies, automation/digitalization, and business model innovations like reusable systems.

Amcor works with both early-stage startups through their Amcor Lift-Off pitching competition, as well as later-stage scale-ups, with the goal of pairing their industry leadership with the agility of startups to drive innovation in packaging.",Amcor,Industrial,Australia
Amdocs Venture,https://www.amdocs.com/ventures,"Amdocs Ventures is the corporate venture capital arm of Amdocs, a leading software and services provider to communications and media companies. The venture arm invests in disruptive technologies that align with Amdocs' strategic horizon and have the potential to transform the industry.
As a value-add investor, Amdocs Ventures works closely with its portfolio companies to accelerate their growth. The team provides deep market insights and access to technology and industry leaders to help startups iterate faster, achieve product-market fit sooner, and scale more quickly.
Amdocs Ventures' portfolio spans a range of innovative companies:
- Assist: Voice and bot commerce enablement platform 
- Community: Personalized B2C communication platform
- Element.io: Decentralized communication platform for governments and organizations
- Firefly Health: Virtual-first, empathy-driven healthcare platform
- Flow: Real-time data flow mapping and security solution
- Identiq: Network for enterprise collaboration on user trust and identity 
- Juganu: Smart city and retail lighting and connectivity platform
- Lynx.md: Secure platform for sharing de-identified medical data
- Neura: Human behavior insights for data-driven decisions
- Neural Magic: Software to run machine learning on low-cost CPUs
- Sea Street: Autonomous operations platform for communications providers 
- Team8: Incubator for enterprise cybersecurity solutions
Several portfolio companies have shared positive testimonials about Amdocs Ventures' hands-on partnership approach that goes beyond just providing capital. The Amdocs team has helped startups refine their offerings, navigate strategic decisions, and pursue growth opportunities.",Amdocs,Technology,Israel
American Express Ventures,https://www.americanexpress.com/us/business/american-express-ventures/,"American Express Ventures is the strategic investment group of American Express that invests in innovative startups to enhance the company's core capabilities and accelerate its efforts in consumer commerce and B2B services. They focus on investing in companies operating in priority industries such as mobile, consumer payments, marketplaces, loyalty, lifestyle services, business-to-business, supply chain analytics, digital transformation, artificial intelligence, automation, servicing and customer experience, identity, risk management, data, cybersecurity, and fraud detection.",American Express,Finance,United States
American Family Ventures,https://www.amfamventures.com/,"American Family Ventures (AFV) is the corporate venture capital arm of American Family Insurance. Launched in 2010, AFV operates at the forefront of the insurance industry, investing in innovative startups that are shaping the future of insurance.
With over $800 million in assets under management, AFV has an extensive portfolio of investments. The firm's limited partners represent $70 billion in insurance premiums. AFV brings a wealth of experience to its investments, having spent 8 years as a single-LP firm and over 4 years as a multi-LP institutional firm. The AFV team has a diverse background, with expertise in insurance, venture capital, and startup leadership.
AFV is dedicated to partnering with founders and innovators across all major insurance lines and beyond. The firm's ecosystem of limited partners, portfolio companies, and industry experts collaborate to drive innovation and transformation in the insurance sector.",American Family Insurance,Finance,United States
Applied Ventures,http://appliedventures.com/,"Applied Ventures is the venture capital arm of Applied Materials, Inc., the global leader in materials engineering solutions. For more than a decade, Applied Ventures has been investing in startups with disruptive technologies across a range of priority industries, including:

- Semiconductor technology
- Advanced display
- Advanced manufacturing
- Advanced materials
- AI and big data
- Life sciences
- Environmental, social and governance (ESG) technologies

Applied Ventures is stage-agnostic and invests up to $100 million per year. To date, they have provided capital to more than 90 companies in 19 countries, helping to pioneer innovations in areas such as smartphones, augmented and virtual reality, driverless cars, big data, robotics, and cleantech.",Applied Materials,Technology,United States
Asahi Kasei Ventures,https://www.asahikaseiventures.com/,"Asahi Kasei Corporate Venture Capital (CVC) was established in 2008 as the venture investment arm of Asahi Kasei, a diversified Japanese company founded in 1922 with businesses in the Material, Homes, and Health Care sectors. The primary mission of Asahi Kasei CVC is to create new long-term business opportunities for the parent company by investing in innovative global startups in areas of strategic importance.
The Asahi Kasei CVC team consists of senior professionals with backgrounds in R&D, startup operations, and venture capital. They are based in offices located in Menlo Park, the Boston area, Düsseldorf, and Shanghai.
Asahi Kasei CVC invests across all stages, with initial investment sizes ranging from several hundred thousand dollars up to several million, depending on the opportunity. The firm is open to leading investments in the right situations.
The venture arm has made investments in several notable companies, including:
- Trevi Systems, which is developing energy-efficient water desalination solutions 
- UltraSense, the creator of the world's smallest ultrasound sensor for touch interfaces
- UV Angel, a company using UV light to create cleaner environments by killing viruses and bacteria
- VitalConnect, a medical device and healthcare solutions company using biosensors and data management
- Zaptic, a provider of a connected worker platform for frontline teams
The Asahi Kasei CVC team includes investment professionals with expertise across a range of focus areas such as healthcare, IoT, sustainability, materials, construction, semiconductors, batteries, and hydrogen technologies. Many team members have advanced degrees in fields like engineering, science, and business, as well as extensive industry experience at Asahi Kasei and other companies.",Asahi Kasei,Industrial,Japan
ASICS Ventures Corporation,https://corp.asics.com/en/ventures,"ASICS Ventures Corporation is the corporate venture capital investment firm of ASICS Corporation, founded in 2016 and based in Kobe, Japan. The firm primarily invests in startups in the following priority industries:

1. Sports and fitness
2. Innovative technologies
3. Sustainability

ASICS Ventures aims to invest in and partner with startups that can leverage ASICS' technology and brand to accelerate innovative ideas that support the company's ""VISION2030"" strategy of enabling healthy and fulfilled lives. The firm has no restrictions on the stages or areas of investment, and has made investments across Japan, Europe, and North America. ASICS Ventures also runs various programs like the ASICS Accelerator Program and TENKAN-TEN Sports & Well-Being Growth Catalyst to support and collaborate with startups.",ASICS Corporation,Consumer,Japan
AT&T Ventures,https://about.att.com/pages/ventures,"AT&T Ventures is the corporate venture capital arm of AT&T. They invest in companies that drive innovation in connectivity, IoT, artificial intelligence and more. Their mission is to identify and support game-changing technologies around the world via early-stage investments primarily ranging from Seed funding up to Series B stage companies.

The priority industries that AT&T Ventures invests in include:
1. Network and edge computing-related technologies
2. Advanced Internet of Things applications and use cases in robotics, mixed reality, gaming, and digital twins
3. Connected home and consumer solutions
4. Autonomous Vehicles and other next-gen transportation
5. Cybersecurity
6. Generative AI",AT&T,Technology,United States
Atlassian Ventures,https://www.atlassian.com/company/ventures,"Atlassian Ventures is the corporate venture capital arm of Atlassian that invests in cloud-based startups. The fund focuses on two main areas: collaboration apps with potential to succeed on the Atlassian Marketplace and beyond, and best-of-breed apps looking to integrate with Atlassian's products to provide value to mutual customers.
Companies that partner with Atlassian Ventures gain access to mentorship from leaders across Atlassian's ecosystem, product, and business teams. Portfolio companies also benefit from preferred placement on Atlassian's digital properties and invitations to Atlassian customer events for global exposure. Exclusive perks and services are available to Atlassian Ventures companies, including access to the Atlassian Ventures Community Portal and invite-only events.
Atlassian Ventures provides additional resources detailing their investment process and approach. They have published their standard convertible note for Marketplace investments in the spirit of transparency. For growth-stage investments, Atlassian Ventures offers details on their approach and agreement. The fund also shares general information about who they are, how they invest, and their global strategy.",Atlassian,Technology,Australia
Autodesk Foundation,https://www.autodesk.org/,"The Autodesk Foundation is a philanthropic organization that aligns its offerings with design and engineering. It invests in nonprofits and startups to help de-risk innovation and scale industry-transforming solutions. By providing funding, technical training, and expertise, the Foundation aims to bring early-stage innovations to market and advance a more sustainable, inclusive, and resilient world.
The Foundation focuses its funding on three impact areas: avoiding, reducing, and removing greenhouse gas emissions; improving resilience in low-resource communities with climate adaptation technologies; and preparing workers to thrive in the era of automation by creating opportunities for quality employment.
The Autodesk Foundation champions inclusive innovation and supports leaders with diverse backgrounds and proximity to impacted communities. It has made progress in supporting underfunded leaders by increasing the gender, racial, and geographic representation of leadership teams across its portfolio. The Foundation works alongside Autodesk's Diversity & Belonging team to build a culture of belonging and advance programs like Employee Resource Group grantmaking.
More than fifty organizations receive grants and impact investments from the Autodesk Foundation to scale innovative solutions to climate change and inequality. Thousands of entrepreneurs and innovators use Autodesk design and make software and technical training for positive impact. Hundreds of Autodesk employees work alongside nonprofits and startups to imagine, design, and make a better world.
The Autodesk Foundation's impact measurement and management (IMM) practice is central to its work, informing how it invests and adapts to optimize impact. The Foundation invests in its portfolio's impact outcomes through a rigorous IMM practice that establishes accountability, informs decision-making, and generates evidence of success.",Autodesk,Technology,United States
Avery Dennison Ventures,https://www.averydennison.com/en/home/about-us/corporate-venture-capital-program.html,"Avery Dennison Ventures is the corporate venture capital program of Avery Dennison Corporation. The program invests in and partners with emerging technology and materials science companies working on innovative, disruptive technologies that align with Avery Dennison's business strategies and provide value to its customers and partners.
Avery Dennison Ventures offers flexible partnership models, including minority equity investments, joint development agreements, non-recurring engineering projects, reseller relationships, and other forms of strategic technical and commercial partnerships. The program aims to combine disruptive technology and entrepreneurial thinking with Avery Dennison's operational excellence at a global scale.
The venture arm focuses on six key investment areas:
1. Connected Items: Enabling a broad set of use cases from inventory management to consumer engagement
2. Sustainability and Waste Management: Sourcing more sustainable materials, supporting innovative recycling solutions, and enhancing product life cycles
3. Personalized Customer Experience: Helping brands provide personalization, customization, and more engaging product offerings for customers
4. Advanced Materials: Expanding Avery Dennison's portfolio of label, film, coating, and other functional materials while developing industry capabilities and relationships
5. Data: Enabling data acquisition, management, analytics, and monetization across complex global value chains
6. Industry 4.0: Improving automation and efficiency of industrial manufacturing and global supply chains, including next-generation IoT platforms
Avery Dennison Ventures targets global early and growth-stage companies (Series A-C) that have demonstrated initial product/market fit. Some of its portfolio companies include Gauzy, PragmatIC, RoadRunner, Wiliot, and Wrapify.",Avery Dennison,Industrial,United States
Aviva Ventures,https://www.aviva.com/about-us/innovation/,"Aviva Ventures is the corporate venture capital fund of Aviva plc, a multinational insurance company headquartered in the UK. The fund focuses on generating both financial and strategic returns by making direct and indirect investments in startups that offer new opportunities, ideas, emerging technologies, and customer trends. These investments have the potential to transform the existing insurance business model, accelerate Aviva's strategy, and provide insights into how the company needs to adapt to the changing landscape.
As a strategic corporate venture fund, Aviva Ventures aims to create long-term value while developing strategic relationships with its portfolio companies. The fund provides these startups with expertise, global reach, and scale to support their growth and success.
Aviva Ventures invests in a diverse range of companies across various sectors, including fintech, insurtech, and healthtech. Some of the notable companies in its portfolio include Acre, Anthemis, Artificial Labs, Bought By Many, Cocoon, Owlstone Medical, Quantexa, Wealthify, and YuLife.",Aviva,Finance,United Kingdom
Axa Venture Partners (AVP),https://www.axavp.com,"AXA Venture Partners (AVP) is a venture capital firm with €2 billion in assets under management. AVP invests across stages, from venture to late growth, focusing on enterprise software, fintech/insurtech, digital health, consumer tech, and other relevant technologies. The firm believes technology will meaningfully transform all sectors of the economy and supports leaders at the forefront of these transformations.
AVP's platform offers a differentiated value proposition based on three main pillars: a multi-stage investment strategy with independent, cross-fertilized approaches; a global investment platform; and a unique network of limited partners, including AXA and Equitable, who serve as key strategic partners for business development.
The firm has received positive testimonials from various portfolio company founders and CEOs. These leaders have praised AVP's strong conviction, dedication, professionalism, and expertise in areas such as B2B, insurance, and financial services. They have also highlighted AVP's ability to provide hands-on support, help with international expansion, and leverage connections with AXA to benefit from its global presence and distribution channels.",Axa,Finance,France
Axian Investment,https://www.axian-group.com/en/axian-investment-2/,"AXIAN Investment is the investment arm of the AXIAN Group that takes a long-term, fundamental approach to building a resilient portfolio of investments. Its goal is to support the group's objectives of positive impact and shared values.
While return-driven, AXIAN Investment backs exceptional entrepreneurs who are transforming industries and creating opportunities across various asset classes, sectors, and geographies. It invests strategically in both private equity and venture capital, empowering businesses to create more value while contributing to economic growth in countries across Africa.
By consolidating both private equity and venture capital investment activities under one roof, AXIAN Investment aims to reinforce its position as the group's lookout point for seeking innovation and opportunities across the African continent. The AXIAN Group's involvement in 77 businesses across 28 countries in Africa, through both direct and indirect operations, allows it to leverage this broad presence to become a leading pan-African investor.",Axian Group,Finance,Madagascar
Axon Partners Group,http://axonpartnersgroup.com,"Axon Partners Group has a corporate venture capital unit that was established in 2020. The firm focuses on investing in three key priority industries through its corporate venture activities:

1. Communications: Axon Partners Group has deep expertise and experience in the communications industry, including areas like 5G and telecommunications infrastructure.

2. Cybersecurity: The firm invests in cybersecurity technologies and solutions, recognizing the critical importance of this sector in today's digital landscape.

3. Emerging Technologies: Axon Partners Group targets a wide range of emerging technologies for investment, such as IoT, cloud computing, and other innovative areas that are driving technological change.

Through its corporate venture capital unit, Axon Partners Group aims to partner with visionary leaders and entrepreneurs to create value and drive innovation in these priority technology sectors [1,2].",Axon Partners Group,Finance,Spain
AxSol,http://www.axsol.se,"AxSol is a corporate venture company that is part of the Axel Johnson group, a family business founded in 1873. Established in 2019, AxSol's priority industry is the distributed energy sector, with a focus on investing in and supporting disruptive companies active in the solar energy industry. AxSol offers its portfolio companies deep industry expertise and a long-term investment horizon, providing strategic, operational, and financial support to help them succeed and grow.",Axel Johnson,Industrial,United States
